,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,VLO,LOW,NEM,ILMN,REGN,URI,BWA,ADSK,TTWO,DAL,ISRG,ALK,EQR,MAR,YUM,MNST,TER,AAPL,GPN,RCL,LEN,CPRT,PWR,STX,VRSN,CBRE,TYL,WDC,HUM,FCX
1,ABC,TPR,MTCH,ALK,TJX,HUM,PKI,BKNG,WDC,AMZN,VTR,VRSN,ILMN,MAR,EQIX,TT,CVS,O,MCO,HPQ,TSN,AOS,AMD,GLW,CNC,AAPL,URI,VLO,MNST,INCY
2,WYNN,FDS,PTC,MU,NVDA,SBAC,AKAM,GRMN,STLD,KMX,CI,BIIB,UNH,LRCX,FCX,TRMB,NEM,NFLX,MNST,ADSK,INCY,ATVI,VRSN,CTSH,PXD,TER,AAPL,EW,AMZN,ILMN
3,WYNN,FDS,PTC,MU,NVDA,SBAC,AKAM,GRMN,STLD,KMX,CI,BIIB,UNH,LRCX,FCX,TRMB,NEM,NFLX,MNST,ADSK,INCY,ATVI,VRSN,CTSH,PXD,TER,AAPL,EW,AMZN,ILMN
4,WYNN,FDS,PTC,MU,NVDA,SBAC,AKAM,GRMN,STLD,KMX,CI,BIIB,UNH,LRCX,FCX,TRMB,NEM,NFLX,MNST,ADSK,INCY,ATVI,VRSN,CTSH,PXD,TER,AAPL,EW,AMZN,ILMN
5,WYNN,FDS,PTC,MU,NVDA,SBAC,AKAM,GRMN,STLD,KMX,CI,BIIB,UNH,LRCX,FCX,TRMB,NEM,NFLX,MNST,ADSK,INCY,ATVI,VRSN,CTSH,PXD,TER,AAPL,EW,AMZN,ILMN
6,WYNN,FDS,PTC,MU,NVDA,SBAC,AKAM,GRMN,STLD,KMX,CI,BIIB,UNH,LRCX,FCX,TRMB,NEM,NFLX,MNST,ADSK,INCY,ATVI,VRSN,CTSH,PXD,TER,AAPL,EW,AMZN,ILMN
7,AMD,TER,EBAY,MGM,CNC,WYNN,MCO,NEM,SWKS,URI,MAS,DHI,EW,ATVI,BG,MNST,HOLX,ADSK,TTWO,CTSH,INCY,SBAC,RCL,VRSN,ILMN,EQIX,NFLX,AAPL,ALK,AKAM
8,AMD,TER,EBAY,MGM,CNC,WYNN,MCO,NEM,SWKS,URI,MAS,DHI,EW,ATVI,BG,MNST,HOLX,ADSK,TTWO,CTSH,INCY,SBAC,RCL,VRSN,ILMN,EQIX,NFLX,AAPL,ALK,AKAM
9,AMD,TER,EBAY,MGM,CNC,WYNN,MCO,NEM,SWKS,URI,MAS,DHI,EW,ATVI,BG,MNST,HOLX,ADSK,TTWO,CTSH,INCY,SBAC,RCL,VRSN,ILMN,EQIX,NFLX,AAPL,ALK,AKAM
10,AMD,TER,EBAY,MGM,CNC,WYNN,MCO,NEM,SWKS,URI,MAS,DHI,EW,ATVI,BG,MNST,HOLX,ADSK,TTWO,CTSH,INCY,SBAC,RCL,VRSN,ILMN,EQIX,NFLX,AAPL,ALK,AKAM
11,AMD,TER,EBAY,MGM,CNC,WYNN,MCO,NEM,SWKS,URI,MAS,DHI,EW,ATVI,BG,MNST,HOLX,ADSK,TTWO,CTSH,INCY,SBAC,RCL,VRSN,ILMN,EQIX,NFLX,AAPL,ALK,AKAM
12,AMD,TER,EBAY,MGM,CNC,WYNN,MCO,NEM,SWKS,URI,MAS,DHI,EW,ATVI,BG,MNST,HOLX,ADSK,TTWO,CTSH,INCY,SBAC,RCL,VRSN,ILMN,EQIX,NFLX,AAPL,ALK,AKAM
13,AMD,TER,EBAY,MGM,CNC,WYNN,MCO,NEM,SWKS,URI,MAS,DHI,EW,ATVI,BG,MNST,HOLX,ADSK,TTWO,CTSH,INCY,SBAC,RCL,VRSN,ILMN,EQIX,NFLX,AAPL,ALK,AKAM
14,AMD,TER,EBAY,MGM,CNC,WYNN,MCO,NEM,SWKS,URI,MAS,DHI,EW,ATVI,BG,MNST,HOLX,ADSK,TTWO,CTSH,INCY,SBAC,RCL,VRSN,ILMN,EQIX,NFLX,AAPL,ALK,AKAM
15,AMD,TER,EBAY,MGM,CNC,WYNN,MCO,NEM,SWKS,URI,MAS,DHI,EW,ATVI,BG,MNST,HOLX,ADSK,TTWO,CTSH,INCY,SBAC,RCL,VRSN,ILMN,EQIX,NFLX,AAPL,ALK,AKAM
16,AMD,TER,EBAY,MGM,CNC,WYNN,MCO,NEM,SWKS,URI,MAS,DHI,EW,ATVI,BG,MNST,HOLX,ADSK,TTWO,CTSH,INCY,SBAC,RCL,VRSN,ILMN,EQIX,NFLX,AAPL,ALK,AKAM
17,AMD,TER,EBAY,MGM,CNC,WYNN,MCO,NEM,SWKS,URI,MAS,DHI,EW,ATVI,BG,MNST,HOLX,ADSK,TTWO,CTSH,INCY,SBAC,RCL,VRSN,ILMN,EQIX,NFLX,AAPL,ALK,AKAM
18,AMD,TER,EBAY,MGM,CNC,WYNN,MCO,NEM,SWKS,URI,MAS,DHI,EW,ATVI,BG,MNST,HOLX,ADSK,TTWO,CTSH,INCY,SBAC,RCL,VRSN,ILMN,EQIX,NFLX,AAPL,ALK,AKAM
19,AMD,TER,EBAY,MGM,CNC,WYNN,MCO,NEM,SWKS,URI,MAS,DHI,EW,ATVI,BG,MNST,HOLX,ADSK,TTWO,CTSH,INCY,SBAC,RCL,VRSN,ILMN,EQIX,NFLX,AAPL,ALK,AKAM
20,AMD,TER,EBAY,MGM,CNC,WYNN,MCO,NEM,SWKS,URI,MAS,DHI,EW,ATVI,BG,MNST,HOLX,ADSK,TTWO,CTSH,INCY,SBAC,RCL,VRSN,ILMN,EQIX,NFLX,AAPL,ALK,AKAM
21,AMD,TER,EBAY,MGM,CNC,WYNN,MCO,NEM,SWKS,URI,MAS,DHI,EW,ATVI,BG,MNST,HOLX,ADSK,TTWO,CTSH,INCY,SBAC,RCL,VRSN,ILMN,EQIX,NFLX,AAPL,ALK,AKAM
22,AMD,TER,EBAY,MGM,CNC,WYNN,MCO,NEM,SWKS,URI,MAS,DHI,EW,ATVI,BG,MNST,HOLX,ADSK,TTWO,CTSH,INCY,SBAC,RCL,VRSN,ILMN,EQIX,NFLX,AAPL,ALK,AKAM
23,AMD,TER,EBAY,MGM,CNC,WYNN,MCO,NEM,SWKS,URI,MAS,DHI,EW,ATVI,BG,MNST,HOLX,ADSK,TTWO,CTSH,INCY,SBAC,RCL,VRSN,ILMN,EQIX,NFLX,AAPL,ALK,AKAM
24,INCY,VRTX,MAR,CRL,LNC,AAPL,SWKS,CRM,TSN,HOLX,CTSH,DHI,RMD,ADSK,BKNG,DLR,EQIX,LRCX,VLO,FCX,TPR,STX,SBAC,IDXX,CTRA,DXCM,AMD,AMZN,MPWR,ALK
25,INCY,VRTX,MAR,CRL,LNC,AAPL,SWKS,CRM,TSN,HOLX,CTSH,DHI,RMD,ADSK,BKNG,DLR,EQIX,LRCX,VLO,FCX,TPR,STX,SBAC,IDXX,CTRA,DXCM,AMD,AMZN,MPWR,ALK
